name,Price,year,fuel_type,kms_driven,company
Honda City,872000.0000000001,2015,Petrol,55643.0,Honda
Hyundai Grand i10,564000.0,2017,Petrol,62803.0,Hyundai
Volkswagen Polo,370000.0,2011,Diesel,90000.0,Volkswagen
Maruti Swift,550000.0,2015,Petrol,68656.0,Maruti
Honda Jazz,517000.0,2016,Petrol,77501.0,Honda
Maruti Swift Dzire,620000.0,2016,Petrol,40000.0,Maruti
Maruti Swift Dzire,620000.0,2016,Petrol,40000.0,Maruti
Honda City,750000.0,2014,Petrol,48325.0,Honda
Tata Nexon,1220000.0,2022,Petrol,30000.0,Tata
Mercedes-Benz B Class,1350000.0,2013,Diesel,100000.0,Mercedes-Benz
Maruti Swift,575000.0,2015,Petrol,69000.0,Maruti
Jeep Compass,1250000.0,2018,Diesel,110000.0,Jeep
Hyundai Verna,868000.0,2016,Petrol,50000.0,Hyundai
Hyundai i20,980000.0,2021,Petrol,20000.0,Hyundai
Maruti Swift,900000.0,2022,Petrol,14999.0,Maruti
Honda Jazz,550000.0,2016,Petrol,90773.0,Honda
Skoda Rapid,450000.0,2012,Diesel,90000.0,Skoda
Maruti Swift,610000.0,2017,Petrol,64917.0,Maruti
Honda Jazz,543000.0,2017,Petrol,70235.0,Honda
Hyundai i20,980000.0,2021,Petrol,30000.0,Hyundai
Honda Jazz,535000.0,2016,Petrol,78782.0,Honda
Mahindra XUV500,850000.0,2014,Diesel,164000.0,Mahindra
Maruti Ciaz,661000.0,2016,Petrol,72136.0,Maruti
Maruti Swift,505000.0,2015,Petrol,52486.0,Maruti
Skoda Laura,450000.0,2007,Diesel,150000.0,Skoda
Honda WR-V,865000.0,2017,Petrol,36887.0,Honda
Hyundai Venue,999000.0,2019,Petrol,47962.0,Hyundai
Nissan Terrano,595000.0,2014,Diesel,135000.0,Nissan
Fiat Linea,400000.0,2012,Petrol,50000.0,Fiat
Maruti Swift Dzire,550000.0,2012,Diesel,100000.0,Maruti
BMW X3,1600000.0,2011,Diesel,110000.0,BMW
Volkswagen Polo,520000.0,2013,Petrol,90000.0,Volkswagen
Maruti Baleno,616000.0,2016,Petrol,116624.0,Maruti
Maruti Ciaz,795000.0,2019,Petrol,54561.0,Maruti
Toyota Innova,1275000.0,2013,Diesel,120000.0,Toyota
Honda Jazz,624000.0,2016,Petrol,65072.0,Honda
Hyundai Grand i10,549000.0,2017,Petrol,133532.0,Hyundai
